รหัส,ชื่อยา,VEN,exclude_status
1650093,Levofloxacin 500mg,E,
1650097,Remdisivir 100mg,V,
1650101,"ClotrimazoleCream 1%w/w , 5gm",E,
1650104,ERIG 2ml,V,
1660012,MorphineMSTContinus 10mg,N,สั่งเมื่อขอ
1660020,"Lactate Ringer 1000 ml ,LRI",V,
1660022,Carvedilol 6.25mg,E,
1660028,"Cetirizine hydrochloride 5mg/5ml ,60ml",E,
1660030,Zinc oxide 7.5g/100g,E,
1660035,D-5-W 100ml,V,
1660037,"AromaticAmmoniaSpirit ,60ml",E,
1660040,"AromaticAmmoniaSpirit ,450ml",E,
1660042,Fluocinoloneacetonide 0.1%cream,E,ตัดออก
1660044,ยาชงกระเจี๊ยบแดง,N,สั่งเมื่อขอ
1660045,Bisoprolol 2.5mg,E,
1660047,Morphine sulfate 20Mg capkapanol,N,สั่งเมื่อขอ
1660052,Itraconazole 100mg/cap,E,
1660062,"Azithromycin 200mg/5ml ,15ml",E,
1660064,"OralRehydration ,เด็กเล็ก",E,
1660066,Midazolam 5mg/1ml,N,
1660075,"XUBIL ,90ml",E,ตัดออก
1660083,ยาสหัสธารา  500mg,N,
1660094,Fluocinoloneacetonide 0.05%Mouth wash,E,ตัดออก
1660104,ยาหอมเทพจิตร 200mg,N,
1660111,"Cefdinir 125mg/5ml ,30ml",E,
1660116,PseudoephedrineSyrup 30mg/5ml,N,
1660131,พญายอครีม 5g,N,
1660171,ยาบำรุงน้ำนมปลูกไฟธาตุ,N,
1670016,"Sterile Water for injection 10ml ,SWI10",V,
1670021,ยาแก้วห้าดวง,N,สั่งเมื่อขอ
1670023,ยาธรณีสัณฑะฆาต 500mg,N,
1670027,"SodiumChloride 10ml ,Nss10ml",V,ตัดออก
1670029,ยาแคปซูลเลือดงาม,N,สั่งเมื่อขอ
1670031,BudesonidenebuliserPulmicort 2ml/unit,E,
1670042,ยาน้ำอบเชย,N,สั่งเมื่อขอ
1670047,"Sterile Water for injection 500ml ,SWI500ml",V,ตัดออก
1670057,ยาแคปซูลผสมเพชรสังฆาต 500mg,N,
1670062,"PotassiumChlorideElixir 500mg(6.67meq)/5ml ,60ml",E,ตัดออก
1670074,Clozapine 100mg,E,
1670077,Lamotrigine 50mg,E,
1670079,ChlorazepateDipotassium 5mg,E,
1670081,Quetiapine 200mg,E,
1670083,TenofovirAlafenaMide 25mg,E,
1670092,Trazodone 50mg,E,
1670099,Anoro Ellipta 62.5/25mcg,E,
1680002,"Hyoscine butylbromide 5mg/5ml ,30ml",E,
1680004,"Simethicone 40mg/0.6ml ,15ml ,Air-X",E,
1680008,Ondansetron 8mg/4ml,V,
1680011,Nortriptyline 25mg,E,
1680013,Cytisinicline 1.5mg,E,
1680019,Hyoscine 10mg,E,
1680021,LabetalolHydrochloride 5mg/ml,V,
1680027,CharcoalAactivated  5gm,E,
1680032,"PotassiumChlorideElixir 500mg(6.67meq)/5ml ,30ml",E,
1680046,Gelofusine 500ml,V,
1680050,"ChlorhexidineGluconate 0.12g/100ml ,250ml ,C24 ,Mybacin",E,
1680056,Atorvastatin 40mg,E,
1690006,"Progesterone 200mg ,SoftGelatinCapsules",E,
S001,"สติกเกอร์ฉลากยา ขนาด 8.5X6ซม. ,1ลัง/16ม้วน/1000ดวง",N,
S002,ขวดพลาสติก ขนาด 60ซีซี(สีน้ำเงิน-แบบ),N,
S003,ถุงซิบใส ขนาด 9X13ซม.,N,
S004,ถุงซิบใส ขนาด 13X20ซม.,N,
S005,ขวดพลาสติก ขนาด 30ซีซี(สีน้ำเงิน-แบบ),N,
S006,ถุงซิบใส ขนาด 6X8ซม.,N,
S007,ถุงซิบใส ขนาด 10X15ซม.,N,
S008,ถุงซิบใส ขนาด 15X23ซม.,N,
S009,ถุงซิบใส ขนาด 20X30ซม.,N,
S010,ถุงซิบชา ขนาด 6X8ซม.,N,
S011,ถุงซิบชา ขนาด 9X13ซม.,N,
S012,ถุงซิบชา ขนาด 13X20ซม.,N,
S013,ขวดพลาสติก ขนาด 10ซีซี(สีน้ำเงิน-แบบ),N,
S014,"ตลับยา ขนาด 30กรัม ,สีเขียว",N,
S015,"ถุงหูหิ้ว ขนาด 6X14 ,1pack/ครึ่งกิโล",N,
S016,ถุงซิบสีแดง ขนาด 10X15ซม.,N,
S017,"ตลับยา ขนาด 30กรัม ,สีครีม",N,ตัดออก
S018,"ตลับยา ขนาด 30กรัม ,สีฟ้า",N,
S019,"ถุงหูหิ้ว ขนาด 6X18 ,1pack/ครึ่งกิโล",N,
S020,"ตลับยา ขนาด 10กรัม ,สีครีม+สีฟ้า",N,
S021,ถุงซิบใส ขนาด 10X20ซม.,N,
S022,"สติกเกอรHAD ขนาด 1X0.8ซม. ,กระดาษสีส้มสะท้อนแสงพิมพ์1สี(ดำ) ,บรรจุ255ดวง/ใบ",N,
S1460512,LubricantgelKyjell 5gm,N,
